lower,upper
0.99975,0.1671449
0.9947295,0.1573291
0.9851633,0.1469083
0.9740043,0.1333426
0.962047,0.1182117
0.9498133,0.1022704
0.9374996,0.08542852
0.925098,0.06773229
0.9126126,0.04948669
0.9000795,0.03087086
0.8875235,0.01193666
0.8749478,-0.007223951
0.8623495,-0.0266131
0.8497329,-0.04620525
0.8371089,-0.0659328
0.8244884,-0.08574581
0.8118774,-0.105559
0.7992773,-0.1252851
0.7866872,-0.1449335
0.7741057,-0.1645031
0.761531,-0.1839836
0.7489616,-0.2033775
0.7363968,-0.222704
0.7238371,-0.2419782
0.7112838,-0.261217
0.6987376,-0.280348
0.6861976,-0.299348
0.6736612,-0.3180987
0.6611247,-0.3365902
0.6485852,-0.3549462
0.6360412,-0.3732302
0.6234924,-0.3916289
0.6109397,-0.4101105
0.5983857,-0.4287609
0.5858346,-0.4476164
0.5732921,-0.4668374
0.5607638,-0.4862706
0.5482527,-0.5055945
0.535758,-0.524519
0.5232758,-0.5427549
0.5108008,-0.5603242
0.4983286,-0.5776234
0.4858564,-0.5951596
0.4733828,-0.612864
0.4609073,-0.6314399
0.44843,-0.6533285
0.435951,-0.6810917
0.4234703,-0.7165815
0.4109884,-0.7585433
0.3985059,-0.8015253
0.3860238,-0.8237289
0.3735431,-0.8337553
0.3610652,-0.8449491
0.348591,-0.8569754
0.3361211,-0.8697276
0.3236558,-0.8831817
0.3111963,-0.8973585
0.298745,-0.912296
0.2863057,-0.928054
0.273883,-0.9446936
0.2614811,-0.9622634
0.2491029,-0.9808269
0.2367506,-1.000466
0.2244266,-1.021244
0.2121343,-1.043255
0.1998783,-1.06662
0.1876642,-1.091451
0.1754986,-1.117864
0.1633883,-1.146091
0.1513423,-1.176306
0.1393735,-1.208681
0.1274987,-1.243604
0.1157379,-1.281242
0.1041103,-1.32184
0.0926353,-1.366039
0.0813553,-1.413578
0.0703435,-1.465107
0.0596778,-1.520461
0.0493868,-1.58082
0.0395562,-1.648467
0.0305972,-1.724972
0.0229472,-1.796525
0.0166788,-1.84236
0.0116976,-1.914797
0.0079657,-2.062506
0.0052295,-2.256047
0.003269,-2.387582
0.0018807,-2.384704
0.0008985,-2.322056
0.0002474,-2.257218
-8.88E-05,-2.126647
-0.0001134,-1.75492
0.0002056,-0.9159401
0.0008955,-0.002485149
0.0019848,0.5675888
0.0035758,0.8613608
0.0058537,0.9777955
0.0091431,0.9988395
0.0135928,0.9550959
0.0186663,0.8893993
0.0247557,0.8133319
0.0329813,0.7285047
0.0436762,0.6415355
0.0547512,0.5745967
0.065841,0.5207163
0.0774405,0.475386
0.0895086,0.436716
0.1017308,0.4043795
0.113967,0.3767894
0.1262507,0.3526055
0.1386172,0.3313543
0.1510601,0.3124345
0.1635514,0.2955067
0.1760719,0.2803462
0.188615,0.2665853
0.2011823,0.2540051
0.2137734,0.2424523
0.2263848,0.2317158
0.2390103,0.221636
0.2516451,0.2122074
0.2642866,0.2033889
0.2769349,0.1951294
0.2895911,0.1873929
0.3022551,0.1801059
0.3149262,0.1732179
0.3276022,0.1666543
0.3402813,0.1604134
0.3529625,0.1544956
0.3656453,0.1488595
0.3783305,0.1435116
0.391018,0.1384309
0.4037077,0.1335969
0.4163981,0.1289812
0.4290875,0.1245609
0.4417745,0.1203743
0.4544589,0.1164098
0.4671415,0.1127257
0.4798245,0.1093203
0.4925094,0.1061772
0.5051966,0.1032698
0.517885,0.1005643
0.530572,0.09802569
0.5432552,0.09568715
0.5559334,0.09358175
0.5686071,0.09174708
0.581278,0.09023586
0.5939487,0.08904695
0.6066205,0.08814967
0.6192939,0.08754703
0.6319683,0.08722792
0.6446425,0.08719348
0.657316,0.08745564
0.669989,0.08803659
0.6826625,0.08894942
0.6953381,0.0901801
0.7080178,0.09171609
0.7207041,0.09353599
0.7333993,0.09563901
0.7461055,0.09796703
0.7588225,0.1004741
0.7715476,0.1031255
0.7842771,0.1058789
0.7970085,0.108776
0.8097426,0.1118214
0.822483,0.1150545
0.8352324,0.1184718
0.8479868,0.1220871
0.8607351,0.1259147
0.8734648,0.1298838
0.8861717,0.133905
0.8988599,0.1379227
0.911532,0.1419186
0.9241753,0.145898
0.9367624,0.1498131
0.9492623,0.1535371
0.9616297,0.1569845
0.9737011,0.1600425
0.9850341,0.1625813
0.9947108,0.1642166
0.99975,0.1671449
