lower,upper
0.99975,0.1608576
0.9947295,0.1444825
0.9851633,0.1351471
0.9740043,0.1216913
0.962047,0.1067928
0.9498133,0.09134381
0.9374996,0.07498859
0.925098,0.05786389
0.9126126,0.04048706
0.9000795,0.0230635
0.8875235,0.0055959
0.8749478,-0.01181422
0.8623495,-0.0292032
0.8497329,-0.04655783
0.8371089,-0.06380259
0.8244884,-0.08088547
0.8118774,-0.09769674
0.7992773,-0.1141199
0.7866872,-0.130161
0.7741057,-0.1457996
0.761531,-0.1610027
0.7489616,-0.1757644
0.7363968,-0.1901325
0.7238371,-0.2042359
0.7112838,-0.2183946
0.6987376,-0.2332419
0.6861976,-0.2502036
0.6736612,-0.2718402
0.6611247,-0.3019154
0.6485852,-0.3449355
0.6360412,-0.4033896
0.6234924,-0.4739734
0.6109397,-0.520363
0.5983857,-0.5261782
0.5858346,-0.53189
0.5732921,-0.5376283
0.5607638,-0.5435186
0.5482527,-0.549676
0.535758,-0.5562008
0.5232758,-0.563174
0.5108008,-0.5706453
0.4983286,-0.5785713
0.4858564,-0.587009
0.4733828,-0.5960293
0.4609073,-0.6056601
0.44843,-0.6158854
0.435951,-0.6266473
0.4234703,-0.6378616
0.4109884,-0.6494359
0.3985059,-0.6612867
0.3860238,-0.6733453
0.3735431,-0.6855626
0.3610652,-0.6979122
0.348591,-0.7103759
0.3361211,-0.7229741
0.3236558,-0.735725
0.3111963,-0.7486824
0.298745,-0.7618878
0.2863057,-0.775429
0.273883,-0.7893476
0.2614811,-0.8036024
0.2491029,-0.8182038
0.2367506,-0.833212
0.2244266,-0.8485918
0.2121343,-0.8644094
0.1998783,-0.8807598
0.1876642,-0.8976663
0.1754986,-0.9151303
0.1633883,-0.9333642
0.1513423,-0.9523633
0.1393735,-0.9720853
0.1274987,-0.9928269
0.1157379,-1.014361
0.1041103,-1.036517
0.0926353,-1.05959
0.0813553,-1.082327
0.0703435,-1.104755
0.0596778,-1.125317
0.0493868,-1.1435
0.0395562,-1.160091
0.0305972,-1.17758
0.0229472,-1.180107
0.0166788,-1.137242
0.0116976,-1.088545
0.0079657,-1.108582
0.0052295,-1.183641
0.003269,-1.174957
0.0018807,-1.045939
0.0008985,-0.868539
0.0002474,-0.6798837
-8.88E-05,-0.4480091
-0.0001134,-0.09286502
0.0002056,0.3959507
0.0008955,0.7903243
0.0019848,0.9618649
0.0035758,1.000726
0.0058537,0.9681586
0.0091431,0.8889863
0.0135928,0.7853201
0.0186663,0.694239
0.0247557,0.607308
0.0329813,0.5215362
0.0436762,0.4409235
0.0547512,0.382883
0.065841,0.3381698
0.0774405,0.3018072
0.0895086,0.2716784
0.1017308,0.2472678
0.113967,0.2268371
0.1262507,0.2091547
0.1386172,0.1938786
0.1510601,0.180463
0.1635514,0.1686304
0.1760719,0.1582061
0.188615,0.1488567
0.2011823,0.1404043
0.2137734,0.1327275
0.2263848,0.1256379
0.2390103,0.1189995
0.2516451,0.1128322
0.2642866,0.1071139
0.2769349,0.101811
0.2895911,0.09690313
0.3022551,0.09232896
0.3149262,0.08804929
0.3276022,0.0839994
0.3402813,0.08018716
0.3529625,0.07662074
0.3656453,0.07326614
0.3783305,0.07013653
0.391018,0.06721707
0.4037077,0.06449279
0.4163981,0.06194089
0.4290875,0.05954441
0.4417745,0.05734555
0.4544589,0.05533785
0.4671415,0.05358173
0.4798245,0.05207895
0.4925094,0.05081637
0.5051966,0.04977155
0.517885,0.04891542
0.530572,0.04821884
0.5432552,0.04771771
0.5559334,0.0474473
0.5686071,0.0474467
0.581278,0.04776772
0.5939487,0.04841141
0.6066205,0.0493522
0.6192939,0.05059541
0.6319683,0.05213373
0.6446425,0.05397099
0.657316,0.05612023
0.669989,0.05860208
0.6826625,0.0614271
0.6953381,0.06458132
0.7080178,0.06805062
0.7207041,0.07181244
0.7333993,0.07585761
0.7461055,0.08013146
0.7588225,0.08458932
0.7715476,0.08919488
0.7842771,0.09390742
0.7970085,0.09873628
0.8097426,0.1036579
0.822483,0.1086562
0.8352324,0.1136777
0.8479868,0.1186631
0.8607351,0.1235385
0.8734648,0.1282044
0.8861717,0.132588
0.8988599,0.1366621
0.911532,0.1404339
0.9241753,0.1439293
0.9367624,0.1471862
0.9492623,0.1502522
0.9616297,0.1531111
0.9737011,0.1557409
0.9850341,0.1580917
0.9947108,0.1600362
0.99975,0.1608576
